user_id game_id level_id    note
754 1   3   Sessions from 5->end are penalties
680 2   -   Webcam footage split (1st is manual exposure and 2nd is automatic exposure)
850 2   -   (SF suitable skill is 4) - Light spot near the pupil because of the eye-glasses reflections confusing the eye-tracker
297 1   -   (Trial-Pro scored +2) - more engaged while FIFA playing with friends - Experiment setting was too quiet.
183 1   -   (Trial-SemiPro scored +3)
319 2   -   (SF suitable skill is 4)
533 1   -   (Trial-SemiPro 0)
211 2   -   Implanted Lenses confusing the eye-tracker. EEG split into 3 files with low quality (could be thick hair or too much hand & head movement)
314 2   -   2xEEG files, low EEG quality, too much head movement.
540 1   -   (Trial-Pro -1)
880 1   -   (Trial-SemiPro 0) - Wrong TZ - paused and split videos - Bad EEG quality - Missing info on OBS scene.
627 2   5   Lost PERFECT KO, but relaxed (noted he was not trying to win).
804 1   4   (Trial-SemiPro +1) - Professional Level Session 6 is penalties.
